Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
quivr,38358,2023-05-12T23:53:30Z,20,0,354,Python,0
trpc,38334,2020-07-18T01:17:11Z,200,0,218,TypeScript,0
phaser,38309,2013-04-12T12:27:51Z,103,0,172,JavaScript,0
Files,38292,2019-01-04T18:19:14Z,531,0,123,C#,0
logseq,38282,2020-05-23T00:06:06Z,1273,3498,150,Clojure,6709
photoprism,38229,2018-01-27T12:00:15Z,435,997,78,Go,1958
free,38109,2020-06-07T02:48:33Z,532,16,0,,218
MPAndroidChart,38103,2014-04-25T14:29:47Z,2191,508,44,Java,2899
impress.js,38064,2011-12-28T22:23:19Z,63,383,15,JavaScript,431
leveldb,38050,2014-08-27T21:17:52Z,366,436,21,C++,537
shellcheck,38000,2012-11-17T03:15:11Z,1145,399,30,Haskell,1719
preact,37915,2015-09-11T02:40:18Z,136,2675,231,JavaScript,1842
ccxt,37815,2017-05-14T15:41:56Z,1370,15618,174,Python,10104
appsmith,37814,2020-06-30T04:07:36Z,4375,17442,290,TypeScript,19229
cal.com,37779,2021-03-22T13:47:42Z,1422,14500,515,TypeScript,6980
Awesome-Design-Tools,37697,2019-02-12T13:55:30Z,101,391,0,JavaScript,25
novu,37669,2021-08-26T15:22:44Z,238,7197,54,TypeScript,1400
ChatTTS,37663,2024-05-27T18:26:49Z,70,263,6,Python,587
system-design,37627,2022-08-15T18:59:54Z,2,35,0,,21
python-cheatsheet,37615,2018-01-25T04:16:53Z,22,0,0,Python,0
Free-Certifications,37561,2020-07-31T10:26:19Z,53,0,0,,0
jan,37500,2023-08-17T02:17:10Z,151,0,88,TypeScript,0
fiber,37497,2020-01-16T03:59:20Z,83,0,128,Go,0
freecodecamp.cn,37471,2016-09-30T03:13:43Z,156,0,0,CSS,0
Open-Assistant,37462,2022-12-13T05:24:17Z,290,0,127,Python,0
ant-design-pro,37453,2017-08-25T10:40:44Z,155,0,26,TypeScript,0
data-engineer-handbook,37318,2023-11-19T19:47:41Z,24,0,0,Jupyter Notebook,0
full-stack-fastapi-template,37260,2019-02-23T15:08:34Z,217,0,10,TypeScript,0
lapce,37249,2018-02-06T08:41:06Z,841,0,32,Rust,0
tutorials,37246,2013-04-29T18:26:36Z,37,0,0,Java,0
devdocs,37226,2013-10-24T18:16:07Z,225,0,0,Ruby,0
istio,37191,2016-11-18T23:57:21Z,516,0,393,Go,0
windows,37175,2024-01-14T13:09:40Z,106,0,104,Shell,0
payload,37171,2021-01-05T18:49:45Z,699,0,523,TypeScript,0
tesseract.js,37122,2015-06-24T02:49:52Z,41,0,56,JavaScript,0
codex,37062,2025-04-13T05:37:54Z,548,0,97,Rust,0
aider,37039,2023-05-09T18:57:49Z,1193,0,93,Python,0
GFPGAN,37027,2021-03-19T06:18:20Z,395,0,8,Python,134
insomnia,37026,2016-04-23T03:54:26Z,757,4241,528,TypeScript,3197
aspnetcore,37012,2014-03-11T06:09:42Z,3635,20643,258,C#,34137
docling,37006,2024-07-09T07:50:26Z,516,658,119,Python,629
interview_internal_reference,36981,2019-06-10T06:54:19Z,33,45,0,Python,19
wtfjs,36973,2017-07-14T15:42:12Z,46,195,25,JavaScript,95
googletest,36942,2015-07-28T15:07:53Z,460,2042,11,C++,1979
docs,36937,2024-05-07T16:49:36Z,34,470,0,MDX,13
node,36902,2024-05-13T23:20:40Z,14,42,6,Shell,13
siyuan,36887,2020-08-30T09:21:35Z,426,623,813,TypeScript,14559
taro,36861,2018-04-08T09:32:26Z,1626,4722,200,TypeScript,11037
milvus,36853,2019-09-16T06:43:43Z,696,26505,130,Go,13485
faiss,36823,2017-02-07T16:07:05Z,286,1603,20,C++,2446
ink-kit,36805,2024-11-04T16:32:17Z,3,110,0,TypeScript,3
halo,36733,2018-03-21T12:56:52Z,303,2859,226,Java,4029
deeplearningbook-chinese,36698,2016-12-07T11:46:51Z,67,33,7,TeX,0
interview,36685,2018-02-09T09:49:48Z,1,0,0,C++,0
v,36662,2019-02-08T02:57:06Z,1095,0,275,V,0
arthas,36658,2018-08-29T17:15:57Z,461,0,59,Java,0
JavaFamily,36605,2019-11-12T04:26:18Z,5,0,0,,0
wtfpython,36582,2017-08-28T20:22:19Z,69,0,2,Python,0
MockingBird,36579,2021-08-07T03:53:39Z,481,0,1,Python,0
bruno,36469,2022-09-27T20:51:45Z,1496,0,141,JavaScript,0
cli,36462,2012-02-25T12:39:13Z,211,0,47,Python,0
